rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0124.jpg,49.6,0.721,0.7414,0.7143,0.68,7,5,False,True
2,frame_0018.jpg,7.2,0.7177,0.6068,0.7143,1.0,7,5,False,True
3,frame_0074.jpg,29.6,0.6995,0.5705,0.7143,1.0,7,5,False,True
4,frame_0077.jpg,30.8,0.6964,0.7837,0.4286,0.88,7,3,False,False
5,frame_0385.jpg,154.0,0.684,0.8595,0.7143,0.2,10,5,False,True
6,frame_0073.jpg,29.2,0.6755,0.6938,0.4286,1.0,5,3,False,False
7,frame_0001.jpg,0.4,0.6697,0.5965,0.5714,1.0,7,4,False,True
8,frame_0030.jpg,12.0,0.6558,0.6544,0.4286,1.0,7,3,False,True
9,frame_0024.jpg,9.6,0.6553,0.9106,0.0,1.0,1,0,False,True
10,frame_0008.jpg,3.2,0.6434,0.6297,0.4286,1.0,3,3,False,True
11,frame_0004.jpg,1.6,0.6429,0.6286,0.4286,1.0,4,3,False,False
12,frame_0296.jpg,118.4,0.6425,0.7718,0.4286,0.64,6,3,False,True
13,frame_0306.jpg,122.4,0.6417,0.9302,0.4286,0.24,7,3,False,True
14,frame_0378.jpg,151.2,0.6407,0.9066,0.5714,0.08,9,4,False,True
15,frame_0029.jpg,11.6,0.6393,0.7071,0.2857,1.0,5,2,False,False
16,frame_0167.jpg,66.8,0.6344,0.7716,0.4286,0.6,6,3,False,True
17,frame_0170.jpg,68.0,0.6303,0.64,0.7143,0.48,7,5,False,False
18,frame_0232.jpg,92.8,0.6293,0.75,0.7143,0.2,8,5,False,False
19,frame_0015.jpg,6.0,0.6268,0.6822,0.2857,1.0,4,2,False,False
20,frame_0014.jpg,5.6,0.6209,0.6703,0.2857,1.0,4,2,False,False
21,frame_0132.jpg,52.8,0.6204,0.5837,0.4286,1.0,6,3,False,False
22,frame_0070.jpg,28.0,0.6149,0.5727,0.4286,1.0,7,3,False,False
23,frame_0367.jpg,146.8,0.6111,0.7616,0.7143,0.08,9,5,False,False
24,frame_0293.jpg,117.2,0.6016,0.8135,0.1429,0.76,3,1,False,False
25,frame_0374.jpg,149.6,0.5989,0.6893,0.7143,0.2,9,5,False,False
26,frame_0375.jpg,150.0,0.5976,0.8581,0.4286,0.2,8,3,False,False
27,frame_0121.jpg,48.4,0.5944,0.7077,0.4286,0.56,4,3,False,False
28,frame_0368.jpg,147.2,0.5942,0.7439,0.7143,0.04,9,5,False,False
29,frame_0387.jpg,154.8,0.5921,0.5042,1.0,0.2,9,7,False,False
30,frame_0174.jpg,69.6,0.5918,0.7127,0.5714,0.32,6,4,False,False
31,frame_0028.jpg,11.2,0.5908,0.6101,0.2857,1.0,3,2,False,False
32,frame_0386.jpg,154.4,0.5846,0.5589,0.8571,0.24,9,6,False,False
33,frame_0396.jpg,158.4,0.5828,0.7587,0.5714,0.16,6,4,False,False
34,frame_0297.jpg,118.8,0.5822,0.5816,0.5714,0.6,6,4,False,False
